Name;Type;Units  or  mass;Status;Organisation;Institution;Entity;Nation;Oneliner;Images
Hiapo  (HSTM  CubeSat);CubeSat;1U;not  launched,  expected  in  2020;Hawaii  Science  and  Technology  Museum  (HSTM);Non-profit;Academic  /  Education;US;Educational  mission  and  measuring  the  electric  field  generated  by  the  solar  wind.;[]
MAGNETO  (Magento);CubeSat;1.5U;not  launched,  expected  in  2020;University  of  Southern  California;University;Academic  /  Education;US;Educational  mission  to  take  magnetometer  measurements  with  no  uplink  capability.;['https://dl.airtable.com/.attachments/b9de558581ca125eebb9861bbb5109d0/5fadd058/MAGNETO_2.bmp',  'https://dl.airtable.com/.attachments/1b7ec28383432a43189424645700c159/0923d5e6/MAGNETO.bmp']
Serenity;CubeSat;3U;not  launched,  expected  in  2020;Teachers  in  Space;Non-profit;Academic  /  Education;US;Educational  mission  to  allow  interaction  with  the  CubeSat.;[]
GRBAlpha;CubeSat;1U;not  launched,  expected  in  2020;Technical  University  of  Kosice;University;Academic  /  Education;Slovakia;Support  the  HAM  radio  community  with  the  possibility  of  use  this  satellite  for  their  activities.  The  satellite  will  have  a  digipeater  functionality.  CW  beacon  with  callsign,  telemetry  and  selectable  special  message.  All  the  data  transmitted  by  the  satellite  will  be  open  for  public  use  and  will  be  published  on  the  internet. 
                                            The  second  goal  is  to  test  a  special  sensor  developed  by  PhD  students  from  Hungary  and  Japan  which  will  be  able  to  detect  gamma  ray  bursts.  These  bursts  are  the  signals  that  the  gravitational  waves  run  through  the  earths  atmosphere.  This  experiment  can  give  us  the  possibility  to  estimate  the  coordinates  in  space  where  the  gravitational  waves  came  from. 
                                        ;['https://dl.airtable.com/.attachments/d3fd24aa8f30d6090f69da412167c803/4c267d17/GRBAlpha_2.jpg',  'https://dl.airtable.com/.attachments/d37fc0da935849372e1594bac507793d/a9195f7b/GRBAlpha.jpg']
SATTLA-2;PocketQube;PocketQube  2p;not  launched,  expected  in  2020;Ariel  University;University;Academic  /  Education;Israel;Educational  amateur  radio  with  LEDs  and  camera.;[]
Amur  State  University  CubeSat;CubeSat;12U;not  launched,  expected  in  2020;Amur  State  University;University;Academic  /  Education;Russia;-;[]
CELESTA  (ROBUSTA  1D,  CErn  Latchup  Experiment  STudent  sAtellite);CubeSat;1U;not  launched,  expected  in  2020;University  of  Montpellier;University;Academic  /  Education;France;In-orbit  testing  of  a  radiation  monitor  and  a  single  event  latch-up  experiment.  ;['https://dl.airtable.com/mRypegrqQUiKPaJVpH6A_ROBUSTA-1D%20CELESTA.jpg',  'https://dl.airtable.com/.attachments/2d083844bd2f6902066e2b018c94dd31/06a5adfd/CELESTA.png',  'https://dl.airtable.com/.attachments/4db6af6bd985addd20d0ac95075ef0a2/6fc8b129/CELESTA-MTCube-2_2.jpg',  'https://dl.airtable.com/.attachments/d1d9c0b78073821d28a597b2244ba175/a32bcda0/CELESTA-MTCube-2_1.jpg']
CSIROSat-1;CubeSat;3U;not  launched,  expected  in  2020;Commonwealth  Scientific  and  Industrial  Research  Organisation  (CSIRO);Institute;Government  (Civil  /  Military);Australia;Infrared  imaging  and  advanced  on-board  data  processing.;['https://dl.airtable.com/.attachments/86a22a3a4e373f5337a36e5f1ddaf895/9541b0d4/CSIROSat-1_3.jpg',  'https://dl.airtable.com/3JW0wcXqSIOpa5TSeFcm_CSIROSat-1.jpg',  'https://dl.airtable.com/AcqSpePHQJeACROlZgJw_CSIROSat-1_2.jpg']
FUTABA;CubeSat;1U;not  launched,  expected  in  2020;Kyushu  Institute  of  technology;University;Academic  /  Education;Japan;Educational  mission  observing  Pb-Free  solders  and  amateur  radio  payload.;['https://dl.airtable.com/.attachments/620b09165dccb548c82a1133267b6951/2f5891ee/Futaba.jpg']
GT-1;CubeSat;1U;not  launched,  expected  in  2020;Georgia  Institute  of  Technology;University;Academic  /  Education;US;Educational  mission  and  radio  amateur  repeater  payload.;[]
HERON  MK  II;CubeSat;3U;not  launched,  expected  in  2020;University  of  Toronto;University;Academic  /  Education;Canada;Unique  biological  payload  aimed  to  assess  the  risk  of  infections  during  long-term  space  missions;['https://dl.airtable.com/.attachments/a109c6969db41b7cc3411f42c1be05b6/0ff64dda/Heron-Mk2.jpg',  'https://dl.airtable.com/.attachments/07f02762fd85b6e806a9eb90dced76ad/2a9b9f31/Heron-Mk2_4.jpg',  'https://dl.airtable.com/.attachments/5bbe8a64a9b4ae52f25653ce70f8d94e/2f329e17/Heron-Mk2_3.jpg',  'https://dl.airtable.com/.attachments/7b0e414ac706fba69539e3bc3201270e/c97528d1/Heron-Mk2_2.jpg',  'https://dl.airtable.com/.attachments/60cd2bcda280c7ae15f2522bfcbe86cc/20086f81/Heron-Mk2_5.jpg']
HSU-SAT1;CubeSat;1U;not  launched,  expected  in  2020;Happy  Science  University;University;Academic  /  Education;Japan;Educational  mission  to  develop  CubeSat  platform  technologies  and  amateur  radio  payload.;[]
INSPIRESat-1  (INternational  Satellite  Program  In  Research  and  Education  Satellite);Nanosatellite;8.6  kg;not  launched,  expected  in  2020;University  of  Colorado  Boulder;University;Academic  /  Education;US;Ionospheric  measurements,  establish  educational  program  and  constellation  of  space  weather  satellites.;['https://dl.airtable.com/.attachments/9b91e7c5a81727e838e89742bde81c2f/e0bc7547/INSPIRESat-1.png']
INSPIRESat-2  (INternational  Satellite  Program  In  Research  and  Education  Satellite,  IDEASSat);CubeSat;3U;not  launched,  expected  in  2020;University  of  Colorado  Boulder;University;Academic  /  Education;US;Compact  ionosphere  probe.;['https://dl.airtable.com/.attachments/8195e5a53d2b20905098619a857a7461/d2fbb851/InspireSat-2.png']
IP2SAT  (PICARD,  SAT-IP2,  FR03);CubeSat;2U;not  launched,  expected  in  2020;University  of  Picardy  Jules  Verne;University;Academic  /  Education;France;Part  of  QB50  to  study  lower  termosphere.;['https://dl.airtable.com/.attachments/f6aa6511024aa7e1b9f6b961d8fdb8e1/4d7053d0/PICARD_IP2SAT.jpg']
NanoDragon;Nanosatellite;10  kg;not  launched,  expected  in  2020;Vietnam  National  Satellite  Center;Institute;Government  (Civil  /  Military);Vietnam;\- 
                                        ;[]
OGMS-SA  (OutGassing  Material  Study  by  Spectroscopy  Analysis);CubeSat;3U;not  launched,  expected  in  2020;Paris-Est  Créteil  Val-de-Marne  University;University;Academic  /  Education;France;Part  of  QB50  to  study  lower  termosphere.;['https://dl.airtable.com/.attachments/08366bfb7fe0f683387983c2f17260a3/0a907089/OGMS-SA_2.jpg',  'https://dl.airtable.com/.attachments/96af58e7b8c09d6fe03726e2ff81cddc/d1db644c/OGMS-SA_3.jpg',  'https://dl.airtable.com/.attachments/c053b3fbbb102b343e97f621e847b068/7fc3cbfd/OGMS-SA.jpg']
RAADSat  (RAAD,  Rapid  Acquisition  Atmospheric  Detector);CubeSat;3U;not  launched,  expected  in  2020;UAE  Space  Agency;Space  agency;Academic  /  Education;United  Arab  Emirates;Study  TGF  flashes  emitted  via  thunderclouds  from  Earth's  atmosphere  using  gamma-ray  detector.;['https://dl.airtable.com/.attachments/6010a5fa44817934f4576ecfb28280dd/06f78f7c/RAADSat.png',  'https://dl.airtable.com/.attachments/adb5588d70aa814ea8d1e7e424867102/61bbaafa/RAADSat_2.png']
